Rep	Pop	Gen	Eco	Plot	Subplot	Treatment	Leaf_3	Stalk_3	Herb_1	Leaf_4	Stalk_4	Herb_2	Leaf_5	Stalk_5	Herb_3	Leaf_6	Stalk_6	Herb_4	Leaf_7	Stalk_7	Herb_5
60	LMC-24	G1	I	2	A	Control	0	1	1	0	1	1	0	1	1	0	1	1	0	0	1
61	LMC-24	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	LMC-24	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	LMC-24	G1	I	2	A	Control	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1
64	LMC-24	G1	I	2	A	Control	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1
65	LMC-24	G1	I	2	A	Control	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
66	LMC-24	G1	I	2	A	Control	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1
67	LMC-24	G1	I	2	A	Control	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1
68	LMC-24	G1	I	2	A	Control	0	1	1	0	1	1	0	1	1	0	0	1	0	0	1
69	LMC-24	G1	I	2	A	Control	0	1	1	0	1	1	0	1	1	0	0	1	0	0	1
70	LMC-24	G1	I	2	A	Control	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1
71	LMC-24	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	LMC-24	G1	I	2	A	Control	0	1	1	0	1	1	0	1	1	0	1	1	0	0	1
73	LMC-24	G1	I	2	A	Control	0	1	1	0	0	0	0	1	1	0	0	1	0	0	1
74	LMC-24	G1	I	2	A	Control	0	1	1	0	1	1	0	1	1	0	0	1	0	0	1
75	LMC-24	G1	I	2	A	Control	0	1	1	0	1	1	0	1	1	0	1	1	0	0	1
76	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	LMC-24	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	LMC-24	G1	I	3	B	Control	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1
103	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	LMC-24	G1	I	3	B	Control	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1
106	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150	LMC-24	G1	I	3	A	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	OCC-31	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
27	OCC-31	G1	I	1	A	Control	0	1	1	0	0	0	0	1	1	1	0	1	0	1	1
28	OCC-31	G1	I	1	A	Control	0	0	0	1	1	1	0	1	1	0	1	1	0	0	1
29	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	OCC-31	G1	I	1	A	Control	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0
33	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	OCC-31	G1	I	1	A	Control	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
37	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	OCC-31	G1	I	1	A	Control	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1
45	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	OCC-31	G1	I	1	A	Control	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1
49	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	OCC-31	G1	I	1	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	OCC-31	G1	I	2	A	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	OCC-31	G1	I	2	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	OCC-31	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	OCC-31	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	OCC-31	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	OCC-31	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	OCC-31	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	OCC-31	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	OCC-31	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	OCC-31	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	OCC-31	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	OCC-31	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	OCC-31	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	OCC-31	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	OCC-31	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	OCC-31	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	OCC-31	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	OCC-31	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	OCC-31	G1	I	3	B	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
